team_id,ConclusionS1,Conclusion
Bicheno,"Potential evapotranspiration was positively related to seedling abundances, which is contrary to expectations with regard to the influence of water stress (i.e., high evaporative demand) on seedling recruitment. Yet, potential evapotranspiration was positively and highly correlated to the index of valley bottom flatness (MrVBF; Pearsonâ€™s r = 0.61) and to northing (Pearsonâ€™s r = 0.98), suggesting it may reflect other processes that are spatially structured. Indeed, properties with lower seedling abundances are located at the margin of the Eucalyptus open forest region, which has a rougher topography (i.e., lower MrVBF) and is a hotspot of production forestry in south-eastern Australia.

Distance to the nearest Eucalyptus canopy correlated negatively with seedlingâ€™s presence. This relationship reveals that seedlingâ€™s recruitment is probably controlled by seed dispersion rather than by intra-specific competition, or selection processes due to climatic and edaphic conditions. Furthermore, seedlingâ€™s presence was negatively related to grass and herb cover, although not seedling abundances. Low germination rates and early seedlings mortality could explain the negative effect of the understorey plant cover on Eucalyptusâ€™ recruitment. The latter interpretation is supported by the negative relationship observed between litter cover and the probability of observing seedlings.

Our analyses of Eucalyptus seedlings show that recruitment at a site is affected negatively by grass, herb and litter cover, but positively by its proximity to mother trees (Eucalyptus canopy), which suggest that seed dispersal and germination are bottleneck processes. Once Eucalyptus seedlings have established, their abundances vary along a north-south gradient of potential evapotranspiration that is associated with other landscape attributes (e.g., change in topography and land-use). It is not entirely clear what are the processes that drive seedlingsâ€™ abundances along this gradient.
",neg_q
Biloela,"A simple model shows that exotic annual grass cover can significantly explain seedling recruitment, measured as counts at 0-2m in height, with a specific positive relationship. However, additional biotic and abiotic variables, which are highly correlated with grass cover in general, also contribute in a significant way to seedling recruitment. Increased seedling recruitment was significantly predicted by higher exotic herb cover, lower litter cover, higher element deposit, greater Eucalyptus canopy cover, and N/S-facing landscape. Thus, while grass does influence Eucalyptus seedling recruitment, other landscape, environmental, and biological variables are necessary to consider if we are to model seedling recruitment. In fact, this model, while including several parameters with significant prediction, could benefit from other factors. For example, of note, variables that reflect spatial patterning (â€œnorthingâ€) were also highly correlated with grass cover, and their incorporation into an additional complex set of spatial models may shed light on these interactions. Finally, while season was not a significant predictor here, collecting data on seedling counts over multiple years may better tease out seasonal effects. Related, the lack of data beyond 2m means all prediction here is telling us about a small period of ""recruitment"". If we are to make predictions about ""successful"" recruitment, then we need better data to understand what happens beyond 2m of growth. Following seedlings over multiple years and/or in a ""time series"" would help track what factors may cull not only recruitment but development.",pos_q
Bingara,"The results showed that in order to conserve the eucalyptus, the owners of private properties have to consider the removal of exotic grasses, mainly those of annual cycle, and the native grasses. In addition, the results indicate that planting seedlings at distances close to eucalyptus trees should be considered. However, it is necessary to evaluate what is the best distance so that the canopy of eucalyptus trees does not interfere with the seedlings. The canopy cover can decrease the entry of solar radiation and the very close distance of the seedlings from trees can leads to competition nutrients and water from the soil.",neg_c
Birchip,It appears that exotic perennial grass cover and native perennial grass cover have a negative effect on eucalyptus seedling count!,neg_c
Birdwoo,"My question: How does grass cover influence Eucalyptus spp. seedling recruitment?

I would not use these data in a hypothesis-testing situation, rather I would use these data for hypothesis-generation. In this context, all three grass variables that I analysed (native_perennial_grass_cover, exotic_annual_grass_cover and exotic_perennial_grass_cover) were retained in at least one plausible model explaining Eucalyptus spp. seedling recruitment. To me, this indicates that grass cover may be a potentially important predictor of Eucalyptus spp. seedling recruitment. 

However, none of the parameter estimate 95% confidence intervals did not overlap with 0, which indicates that there was no evidence for a statistically significant effect of grass cover variables on Eucalyptus spp. seedling recruitment

",none_q
Blayney,exotic grass cover and Eucalyptus spp. seedling recruitment had a negative correlation,neg_c
Bodalla,"There is no clear relationship between grass cover and Eucalyptus spp. seedling recruitment. On a significantly reduced dataset there is a significant negative relationship between exotic annual grasses, though further surveys would be needed to confirm this relationship given the relatively low sample size (n = 91) of this dataset.",none_q
Bombala,Increased cover of exotic perennial grass species leads to decreased recruitment of Eucalyptus spp.,neg_c
Bonalbo,Significant positive coefficient of grass cover. No significant relationship between grass cover and recruits,mixed
Boorowa,"Grass cover, especially exotic grasses, has a negative effect on the establishment of Eucalyptus spp. seedlings.",neg_c
