TeamIdentifier,id_col,dataset,ConclusionS1,Conclusion
Bicheno,Bicheno-1-1-1,eucalyptus,"Potential evapotranspiration was positively related to seedling abundances, which is contrary to expectations with regard to the influence of water stress (i.e., high evaporative demand) on seedling recruitment. Yet, potential evapotranspiration was positively and highly correlated to the index of valley bottom flatness (MrVBF; PearsonÃ¢â‚¬â„¢s r = 0.61) and to northing (PearsonÃ¢â‚¬â„¢s r = 0.98), suggesting it may reflect other processes that are spatially structured. Indeed, properties with lower seedling abundances are located at the margin of the Eucalyptus open forest region, which has a rougher topography (i.e., lower MrVBF) and is a hotspot of production forestry in south-eastern Australia.

Distance to the nearest Eucalyptus canopy correlated negatively with seedlingÃ¢â‚¬â„¢s presence. This relationship reveals that seedlingÃ¢â‚¬â„¢s recruitment is probably controlled by seed dispersion rather than by intra-specific competition, or selection processes due to climatic and edaphic conditions. Furthermore, seedlingÃ¢â‚¬â„¢s presence was negatively related to grass and herb cover, although not seedling abundances. Low germination rates and early seedlings mortality could explain the negative effect of the understorey plant cover on EucalyptusÃ¢â‚¬â„¢ recruitment. The latter interpretation is supported by the negative relationship observed between litter cover and the probability of observing seedlings.

Our analyses of Eucalyptus seedlings show that recruitment at a site is affected negatively by grass, herb and litter cover, but positively by its proximity to mother trees (Eucalyptus canopy), which suggest that seed dispersal and germination are bottleneck processes. Once Eucalyptus seedlings have established, their abundances vary along a north-south gradient of potential evapotranspiration that is associated with other landscape attributes (e.g., change in topography and land-use). It is not entirely clear what are the processes that drive seedlingsÃ¢â‚¬â„¢ abundances along this gradient.
",neg_q
Bicheno,Bicheno-1-1-2,eucalyptus,"Potential evapotranspiration was positively related to seedling abundances, which is contrary to expectations with regard to the influence of water stress (i.e., high evaporative demand) on seedling recruitment. Yet, potential evapotranspiration was positively and highly correlated to the index of valley bottom flatness (MrVBF; PearsonÃ¢â‚¬â„¢s r = 0.61) and to northing (PearsonÃ¢â‚¬â„¢s r = 0.98), suggesting it may reflect other processes that are spatially structured. Indeed, properties with lower seedling abundances are located at the margin of the Eucalyptus open forest region, which has a rougher topography (i.e., lower MrVBF) and is a hotspot of production forestry in south-eastern Australia.

Distance to the nearest Eucalyptus canopy correlated negatively with seedlingÃ¢â‚¬â„¢s presence. This relationship reveals that seedlingÃ¢â‚¬â„¢s recruitment is probably controlled by seed dispersion rather than by intra-specific competition, or selection processes due to climatic and edaphic conditions. Furthermore, seedlingÃ¢â‚¬â„¢s presence was negatively related to grass and herb cover, although not seedling abundances. Low germination rates and early seedlings mortality could explain the negative effect of the understorey plant cover on EucalyptusÃ¢â‚¬â„¢ recruitment. The latter interpretation is supported by the negative relationship observed between litter cover and the probability of observing seedlings.

Our analyses of Eucalyptus seedlings show that recruitment at a site is affected negatively by grass, herb and litter cover, but positively by its proximity to mother trees (Eucalyptus canopy), which suggest that seed dispersal and germination are bottleneck processes. Once Eucalyptus seedlings have established, their abundances vary along a north-south gradient of potential evapotranspiration that is associated with other landscape attributes (e.g., change in topography and land-use). It is not entirely clear what are the processes that drive seedlingsÃ¢â‚¬â„¢ abundances along this gradient.
",neg_q
Biloela,Ayr-1-2-2,eucalyptus,"A simple model shows that exotic annual grass cover can significantly explain seedling recruitment, measured as counts at 0-2m in height, with a specific positive relationship. However, additional biotic and abiotic variables, which are highly correlated with grass cover in general, also contribute in a significant way to seedling recruitment. Increased seedling recruitment was significantly predicted by higher exotic herb cover, lower litter cover, higher element deposit, greater Eucalyptus canopy cover, and N/S-facing landscape. Thus, while grass does influence Eucalyptus seedling recruitment, other landscape, environmental, and biological variables are necessary to consider if we are to model seedling recruitment. In fact, this model, while including several parameters with significant prediction, could benefit from other factors. For example, of note, variables that reflect spatial patterning (Ã¢â‚¬Å“northingÃ¢â‚¬Â) were also highly correlated with grass cover, and their incorporation into an additional complex set of spatial models may shed light on these interactions. Finally, while season was not a significant predictor here, collecting data on seedling counts over multiple years may better tease out seasonal effects. Related, the lack of data beyond 2m means all prediction here is telling us about a small period of ""recruitment"". If we are to make predictions about ""successful"" recruitment, then we need better data to understand what happens beyond 2m of growth. Following seedlings over multiple years and/or in a ""time series"" would help track what factors may cull not only recruitment but development.",pos_q
Bingara,Ayr-1-2-3,eucalyptus,"The results showed that in order to conserve the eucalyptus, the owners of private properties have to consider the removal of exotic grasses, mainly those of annual cycle, and the native grasses. In addition, the results indicate that planting seedlings at distances close to eucalyptus trees should be considered. However, it is necessary to evaluate what is the best distance so that the canopy of eucalyptus trees does not interfere with the seedlings. The canopy cover can decrease the entry of solar radiation and the very close distance of the seedlings from trees can leads to competition nutrients and water from the soil.",neg_c
Birchip,Ayr-1-2-1,eucalyptus,It appears that exotic perennial grass cover and native perennial grass cover have a negative effect on eucalyptus seedling count!,neg_c
Birdwoo,Bega-2-2-1,eucalyptus,"My question: How does grass cover influence Eucalyptus spp. seedling recruitment?

I would not use these data in a hypothesis-testing situation, rather I would use these data for hypothesis-generation. In this context, all three grass variables that I analysed (native_perennial_grass_cover, exotic_annual_grass_cover and exotic_perennial_grass_cover) were retained in at least one plausible model explaining Eucalyptus spp. seedling recruitment. To me, this indicates that grass cover may be a potentially important predictor of Eucalyptus spp. seedling recruitment. 

However, none of the parameter estimate 95% confidence intervals did not overlap with 0, which indicates that there was no evidence for a statistically significant effect of grass cover variables on Eucalyptus spp. seedling recruitment

",none_q
Blayney,Bega-2-2-2,eucalyptus,exotic grass cover and Eucalyptus spp. seedling recruitment had a negative correlation,neg_c
Bodalla,Bega-1-1-1,eucalyptus,"There is no clear relationship between grass cover and Eucalyptus spp. seedling recruitment. On a significantly reduced dataset there is a significant negative relationship between exotic annual grasses, though further surveys would be needed to confirm this relationship given the relatively low sample size (n = 91) of this dataset.",none_q
Bombala,Bega-1-1-2,eucalyptus,Increased cover of exotic perennial grass species leads to decreased recruitment of Eucalyptus spp.,neg_c
Bonalbo,Bell-4-4-1,eucalyptus,Significant positive coefficient of grass cover,pos_c
Bonalbo,Bell-3-3-1,eucalyptus,No significant relationship between grass cover and recruits,none_c
Boorowa,Bell-1-1-1,eucalyptus,"Grass cover, especially exotic grasses, has a negative effect on the establishment of Eucalyptus spp. seedlings.",neg_c
Boorowa,Bell-1-1-2,eucalyptus,"Grass cover, especially exotic grasses, has a negative effect on the establishment of Eucalyptus spp. seedlings.",neg_c
Boorowa,Bell-1-1-3,eucalyptus,"Grass cover, especially exotic grasses, has a negative effect on the establishment of Eucalyptus spp. seedlings.",neg_c
Brookto,Bell-2-2-1,eucalyptus,Grass cover does not significantly affect Eucalyptus spp. seedling recruitment across the sampled properties.,none_c
Broulee,Bell-5-5-1,eucalyptus,"There are to different principal results: 1) When we look for variation between seasons recruitment significantly decreases in winter as a function of exotic annual grass cover and exotic perennial grass. On another hand, recruitment increasing in spring in response to native perennial grass. Finally, recruitment declines in the autumn in response to perennial grass cover (both native and exotic; 2) The structural model shows that eucalyptus recruitment had a negative indirect effect by native perennial grass and exotic annual grass via eucalyptus establishment.",mixed
Bruthen,Bell-5-5-2,eucalyptus,NA,NA
Buderim,Biloela-1-1-1,eucalyptus,"""How does grass cover influence Eucalyptus spp. seedling recruitment?"" was not the research question!!

The questions were the following:

""The first question that is addressed is whether tree regeneration is happening""

Result: ""Regarding the first question, whether tree regeneration is happening, we found very strong support (Fig. 1, Table 1: P[effect>0]=100%) for large seedlings to become more abundant (posterior mean = 6% increase) over time, but found no support for a change in occurrence of small and medium seedlings ([P[effect>0]=70.6% and 78.3], respectively).""

""The second question that is address is what factors drives eucalyptus tree regeneration.""

Result: ""With respect to the second question, concerning what is driving the difference in tree regeneration, we found that all our selected explanatory variables were very likely (P[effect>0] at least 93.1%) to decrease seedling mean occurrences in magnitudes ranging between 6 and 21 %.""",NA
Candelo,Bingara-1-1-1,eucalyptus,"Grass cover in general might have a mild negative effect on eucalypt seedling establishment, yet support for this hypothesis is weak.",neg_q
Candelo,Berr-1-1-1,eucalyptus,"Grass cover in general might have a mild negative effect on eucalypt seedling establishment, yet support for this hypothesis is weak.",neg_q
Candelo,Brim-1-1-1,eucalyptus,"Grass cover in general might have a mild negative effect on eucalypt seedling establishment, yet support for this hypothesis is weak.",neg_q
Candelo,Bruc-1-1-1,eucalyptus,"Grass cover in general might have a mild negative effect on eucalypt seedling establishment, yet support for this hypothesis is weak.",neg_q
Capella,Burr-1-1-2,eucalyptus,"Both net_rearing_manipulation and rear_Cs_at_start_of_rearing were associated with the outcome variables, though net_rearing_manipulation was not significantly associated with tarsus length in my final model. Net_rearing_manipulation was still associated with weight, so an increase in the number of chicks in the nest was linked to lower weights. Similarly, more rear_Cs_at_start_of_rearing was linked shorter tarsus lengths and lower weights. More siblings, and presumably additional competition, was on balance worse for nestling growth.

I was especially interested in the interactions I might find between net_rearing_manipulation or rear_Cs_at_start_of_rearing and other variables, but for the most part, I could not confirm any such relationships. The exception was the interaction between net_rearing_manipulation and the square of hatch_nest_LD. This suggests that chicks in nests manipulated to have more chicks had greater growth when the lay date of the nest that chick was born in was later in the month.",neg_q
Carcoar,Burr-1-1-1,eucalyptus,"After fitting a final model including this nuisance variable along with our parameters of interest, annual and perennial grass cover, we did not find evidence for strong effects of annual or perennial grass cover on eucalyptus seedling aggregate height",none_c
Carnama,Burr-2-2-2,eucalyptus,"Cover of exotic perennial grass only influences seedling persistence, with no effects of grass cover on seedling recruitment.",mixed
Chewton,Burr-2-2-1,eucalyptus,Across the investigated properties overall grass cover increased Eucalyptus spp. seedling recruitment.,pos_c
Aberdeen,Byng-1-1-1,eucalyptus,"When climatic, edaphic, and competitive conditions were taken into account, our models indicated that grasses collectively had a positive effect on eucalyptus seedling recruitment (ÃŽÂ² = 0.19, p = 0.007), prompting further investigation of each of the four graminoid classes. We observed differences both in life history characteristics (perennial vs annual), as well as native status (exotic or native). Native perennial grass cover had a strong significant positive effect on eucalypt recruitment (ÃŽÂ² = 0.20, p = 0.001), whereas native graminoids negatively influenced seedling abundance to a similar degree (ÃŽÂ² = -0.25, p <0.001). Neither exotic annuals (ÃŽÂ² = 0.10, p = 0.162) nor exotic perennial cover significantly influenced eucalypt recruitment (ÃŽÂ² = -0.07, p = 0.472).",none_c
Andamook,Birchip-1-1-1,eucalyptus,"We found no effect of individual grass cover types or total grass cover on the number of eucalypt seedlings in either the 0-50 or 50-200 cm height categories. Estimated effects were weak for all variables and accompanied by large standard errors, with 95% confidence intervals overlapping zero in all cases",none_c
Andamook,Cape-1-1-1,eucalyptus,"We found no effect of individual grass cover types or total grass cover on the number of eucalypt seedlings in either the 0-50 or 50-200 cm height categories. Estimated effects were weak for all variables and accompanied by large standard errors, with 95% confidence intervals overlapping zero in all cases",none_c
Andamook,Cape-2-2-1,eucalyptus,"We found no effect of individual grass cover types or total grass cover on the number of eucalypt seedlings in either the 0-50 or 50-200 cm height categories. Estimated effects were weak for all variables and accompanied by large standard errors, with 95% confidence intervals overlapping zero in all cases",none_c
Andamook,Clar-2-2-1,eucalyptus,"We found no effect of individual grass cover types or total grass cover on the number of eucalypt seedlings in either the 0-50 or 50-200 cm height categories. Estimated effects were weak for all variables and accompanied by large standard errors, with 95% confidence intervals overlapping zero in all cases",none_c
