team_id,model_id,transformation,link_function_reported,dataset,mixed_model,response_variable_type,response_construction_description,response_variable_name,response_id_S2,test_variable,sample_size,Bayesian,linear_model,model_subclass,SurveyID,Date,Season,Property,Quadrat no,Easting,Northing,Aspect,Landscape position,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,BareGround_cover,Litter_cover,MossLichen_cover,Rock_cover,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,annual_precipitation,precipitation_warmest_quarter,precipitation_coldest_quarter,PET,MrVBF,K_perc,Th_ppm,U_ppm,SRad_Jan,SRad_Jul,all_grass,all_exotic_grass,all_native_grass_graminoid,all_non-grass_veg,shrub_cover,herb_cover,other_veg,bare,month,all_exotic_herb,native_herb_fern_gram,growing_space,soilPC1,coverPC1,coverPC2,coverPC3,precip_max_range,year,size_class,all_perennial_grass,sample
Bicheno,Bicheno-1-1-1,NA,NA,eucalyptus,NA,constructed variable (combining information from two or more original variables),euc_sdlgs0_50cm + euc_sdlgs50cm-2m,euc_sdlgs0_2m,R_0MuZ4chnmwTaLiV,NA,NA,0,generalised,zero_inflated_hurdle,NA,NA,Season,NA,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NA,BareGround_cover,Litter_cover,NA,NA,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,NA,NA,NA,NA,PET,NA,NA,NA,NA,NA,SRad_Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bicheno,Bicheno-1-1-2,NA,NA,eucalyptus,NA,constructed variable (combining information from two or more original variables),euc_sdlgs0_50cm + euc_sdlgs50cm-2m,euc_sdlgs0_2m,R_0MuZ4chnmwTaLiV,NA,NA,0,generalised,zero_inflated_hurdle,NA,NA,Season,NA,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NA,BareGround_cover,Litter_cover,NA,NA,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,NA,NA,NA,NA,PET,NA,NA,NA,NA,NA,SRad_Jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Biloela,Biloela-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),"We combined the first two seedling measures of 0-50cm and 50cm-2m into one response variable. These two measures were highly correlated across all three seasons, with no pattern for the >2m seedling measure. Quadrats with high counts for 0-50cm are more likely to also have high counts for 50cm-2m, regardless of season, and thus, treating them as two different response variables with the same set of predictor variables is unnecessary, if not invalid. A further look at the third seedling measure of >2m shows that a total of 40 observations were made, all within 9 quadrats, and all within the Autumn 2007 season only. Otherwise, >340 quadrats had no seedlings observed. This class provided no meaningful info.",euc_sdlgs_all,R_12R6XuSRUcRemui,NA,NA,0,generalised,zero_inflated,NA,NA,Season,Property,Quadrat no,NA,NA,Aspect,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NA,NativePerennialGrass_cover,NA,NA,NA,BareGround_cover,Litter_cover,NA,NA,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,NA,NA,NA,NA,NA,NA,NA,Th_ppm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bingara,Bingara-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),I summed all seedlings eucalyptus variables,euc_sdlgs_all,R_1BWpZlSbkmSofe1,ExoticAnnualGrass_cover,346,0,generalised,standard,NA,Date,NA,Property,Quadrat no,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NativePerennialGraminoid_cover,NA,BareGround_cover,NA,MossLichen_cover,Rock_cover,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),NA,NA,NA,NA,NA,NA,NA,NA,K_perc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birchip,Birchip-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),"I summed euc_sdlgs50cm-2m, euc_sdlgs>2m and euc_sdlgs0_50cm",euc_sdlgs_all,R_1Ej3sywrrnzy7KJ,NativePerennialGrass_cover,NA,0,generalised,standard,NA,Date,NA,Property,Quadrat no,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Birdwoo,Birdwoo-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),"I summed the total values contained in 'euc_sdlgs0_50cm', 'euc_sdlgs50cm-2m' and ''euc_sdlgs>2m'",euc_sdlgs_all,R_1FJQlMO4buRu6S2,NA,NA,0,generalised,standard,NA,NA,NA,Property,Quadrat no,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SRad_Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blayney,Blayney-1-1-1,NA,NA,eucalyptus,1,constructed variable (combining information from two or more original variables),"sum of ""euc_sdlgs0_50cm"" and ""euc_sdlgs.2m""",euc_sdlgs_all,R_1ib6zw7qoq0lHlf,all_exotic_grass,NA,0,generalised,standard,NA,NA,Season,Property,NA,NA,NA,Aspect,NA,ExoticAnnualGrass_cover,ExoticAnnualHerb_cover,ExoticPerennialHerb_cover,ExoticPerennialGrass_cover,ExoticShrub_cover,NativePerennialFern_cover,NativePerennialGrass_cover,NativePerennialHerb_cover,NativePerennialGraminoid_cover,NativeShrub_cover,NA,NA,NA,NA,Euc_canopy_cover,Distance_to_Eucalypt_canopy(m),euc_sdlgs0_50cm,euc_sdlgs50cm-2m,euc_sdlgs>2m,annual_precipitation,NA,NA,NA,MrVBF,NA,NA,NA,SRad_Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bodalla,Bodalla-1-1-1,log,log,eucalyptus,1,"original variable (not transformed prior to analysis - if transformed with link function in analysis, click this option)",NA,euc_sdlgs_all,R_1ItMbxJAVt7RRtX,ExoticAnnualGrass_cover,90,0,generalised,standard,NA,NA,NA,Property,NA,NA,NA,NA,NA,ExoticAnnualGrass_cover,NA,NA,ExoticPerennialGrass_cover,NA,NA,NativePerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bombala,Bombala-1-1-1,log,log,eucalyptus,1,constructed variable (combining information from two or more original variables),"Combined euc_sdlgs0_50cm, euc_sdlgs50cm.2m, and euc_sdlgs.2m by melting dataframe.",euc_sdlgs_all,R_1kH1Ko3yaLsrD0E,ExoticPerennialGrass_cover,NA,0,generalised,zero_inflated,NA,NA,Season,Property,Quadrat no,NA,NA,NA,NA,NA,NA,NA,ExoticPerennialGrass_cover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,size_class,NA,NA
